,LICENSED_CERTIFIED,FLAG,T18_19,FACID,FAC_STATUS_TYPE_CODE,ASPEN_FACID,CCN,TERMINAT_SW,PARTICIPATION_DATE,APPROVAL_DATE,NPI,CAN_BE_DEEMED_FAC_TYPE,CAN_BE_CERTIFIED_FAC_TYPE,DEEMED,AO_CD,DMG_EFCTV_DT,AO_TRMNTN_DT,AO_NAME,FACNAME,FAC_TYPE_CODE,FAC_FDR,LTC,CAPACITY,ADDRESS,CITY,ZIP,ZIP9,FACADMIN,CONTACT_EMAIL,CONTACT_FAX,CONTACT_PHONE_NUMBER,COUNTY_CODE,COUNTY_NAME,DISTRICT_NUMBER,DISTRICT_NAME,ISFACMAIN,PARENT_FACID,FAC_FAC_RELATIONSHIP_TYPE_CODE,START_DATE,LICENSE_NUMBER,BUSINESS_NAME,LICENSE_STATUS_DESCRIPTION,INITIAL_LICENSE_DATE,LICENSE_EFFECTIVE_DATE,LICENSE_EXPIRATION_DATE,ENTITY_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION,OSHPD_ID,CCLHO_CODE,CCLHO_NAME,FIPS_COUNTY_CODE,BIRTHING_FACILITY_FLAG,TRAUMA_PED_CTR,TRAUMA_CTR,TYPE_OF_CARE,CRITICAL_ACCESS_HOSPITAL,DATA_DATE,primary_care,nursing,pediatric,mental_health
1769,LICENSED AND CERTIFIED,USE PARENT MATCH,,80000387,OPEN,CA080000152,050128,,1-Jul-66,21-Feb-19,1801861190,Y,Y,1.0,1.0,9/28/18 0:00,,JC,TRI-CITY MEDICAL CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,18,4002 VISTA WAY,OCEANSIDE,92056,4506,"GONZALEZ, ARTHUR",,,(760) 724-8411,470,SAN DIEGO,10,SAN DIEGO,N,80000152.0,DISTINCT PART,25-Nov-86,80000099.0,TRI-CITY HOSPITAL DISTRICT,ACTIVE,25-Nov-86,1-Nov-21,31-Oct-22,HEALTH CARE DISTRICT,33.184332,-117.291807,"(-117.291807,33.184332)",,37,SAN DIEGO,6073,,,,,,15-Mar-22,False,False,False,True
1781,LICENSED AND CERTIFIED,,,80000665,OPEN,CA080000665,054095,,23-May-88,16-Oct-18,1598722027,Y,Y,1.0,1.0,7/12/18 0:00,,JC,AURORA SAN DIEGO,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,101,11878 AVENUE OF INDUSTRY,SAN DIEGO,92128,3423,"AZCONA, ALAIN",AJAZCONA@AURORABEHAVIORAL.COM,(858) 674-4491,(858) 487-3200,470,SAN DIEGO,10,SAN DIEGO,Y,,PARENT,,80000310.0,"AURORA SAN DIEGO, LLC",ACTIVE,19-May-88,19-Nov-21,18-Nov-22,LIMITED LIABILITY COMPANY,32.991372,-117.0749475,"(-117.0749475,32.991372)",106374024.0,37,SAN DIEGO,6073,,,,,,15-Mar-22,False,False,False,True
1842,LICENSED AND CERTIFIED,USE PARENT MATCH,,80001257,OPEN,CA080000147,050636,,22-Jun-77,8-Apr-20,1376513754,Y,Y,1.0,1.0,11/14/19 0:00,,JC,PALOMAR MEDICAL CENTER POWAY D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,12,15615 POMERADO RD,POWAY,92064,2405,"FLINN, JIM",,,(858) 485-6511,470,SAN DIEGO,10,SAN DIEGO,N,80000147.0,DISTINCT PART,22-Jun-77,80000127.0,PALOMAR HEALTH,ACTIVE,22-Jun-77,21-Nov-21,20-Nov-22,HEALTH CARE DISTRICT,32.996565,-117.0566505,"(-117.0566505,32.996565)",,37,SAN DIEGO,6073,,,,,,15-Mar-22,False,False,False,True
1845,LICENSED AND CERTIFIED,USE PARENT MATCH,,80001283,OPEN,CA080000045,050026,,1-Jul-66,9-Jan-19,1528041811,Y,Y,1.0,1.0,2/3/18 0:00,,JC,GROSSMONT HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,46,5555 GROSSMONT CENTER DR,LA MESA,91942,3019,"TARBET, MICHELE",,,(619) 465-0711,470,SAN DIEGO,10,SAN DIEGO,N,80000045.0,DISTINCT PART,10-Aug-55,80000006.0,GROSSMONT HOSPITAL CORPORATION,ACTIVE,10-Aug-55,22-Jul-21,28-May-22,NONPROFIT CORP,32.781438,-117.00702,"(-117.00702,32.781438)",,37,SAN DIEGO,6073,,,,,,15-Mar-22,False,False,False,True
2065,LICENSED AND CERTIFIED,,,90000159,OPEN,CA090000159,054114,,25-May-90,29-Jan-20,1427101351,Y,Y,1.0,1.0,2/11/16 0:00,,JC,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,109,3853 ROSECRANS ST,SAN DIEGO,92110,3115,"KARMACH, IZABELA",IZABELA.KARMACH@SDCOUNTY.CA.GOV,(619) 542-4060,(619) 692-8232,470,SAN DIEGO,10,SAN DIEGO,Y,,PARENT,,90000092.0,COUNTY OF SAN DIEGO,ACTIVE,,30-Mar-21,29-Mar-22,COUNTY,32.753683,-117.202604,"(-117.202604,32.753682999)",106374055.0,37,SAN DIEGO,6073,,,,,,15-Mar-22,False,False,False,True
2079,LICENSED ONLY,,,90000244,OPEN,CA090000244,,,,,,N,N,,,,,,CATHOLIC CHARITIES,PSYCHC,PSYCHOLOGY CLINIC,NON-LTC,0,349 CEDAR ST,SAN DIEGO,92101,3112,"PETTERSON, PATRICIA",PPETTERSON@CCDSD.ORG,(619) 234-1465,(619) 231-2828,470,SAN DIEGO,10,SAN DIEGO,Y,,PARENT,,90000125.0,"CATHOLIC CHARITIES, DIOCESE OF SAN DIEGO",ACTIVE,21-Oct-75,22-Mar-18,21-Mar-19,NONPROFIT CORP,32.721795,-117.16146,"(-117.16146,32.721795)",306374011.0,37,SAN DIEGO,6073,,,,,,15-Mar-22,False,False,False,True
2103,LICENSED AND CERTIFIED,USE PARENT MATCH,,90000338,OPEN,CA090000145,050024,,1-Jul-66,26-Jul-19,1356410351,Y,Y,1.0,1.0,6/21/19 0:00,,JC,PARADISE VALLEY HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,39,2400 E 4TH ST,NATIONAL CITY,91950,2026,"BUTLER, DAVID  B",,,(619) 470-4321,470,SAN DIEGO,10,SAN DIEGO,N,90000145.0,DISTINCT PART,29-Mar-66,90000086.0,"PRIME HEALTHCARE PARADISE VALLEY, LLC",ACTIVE,29-Mar-66,27-Aug-21,30-Apr-22,LIMITED LIABILITY COMPANY,32.684337,-117.082593,"(-117.082593,32.684337)",,37,SAN DIEGO,6073,,,,,,15-Mar-22,False,False,False,True
2104,LICENSED AND CERTIFIED,USE PARENT MATCH,,90000347,OPEN,CA090000025,050077,,1-Jul-66,13-Dec-18,1659359446,Y,Y,1.0,1.0,9/1/18 0:00,,JC,SCRIPPS MERCY HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,36,4077 5TH AVE,SAN DIEGO,92103,2105,"WILSON, NANCY",,,(619) 000-0000,470,SAN DIEGO,10,SAN DIEGO,N,90000025.0,DISTINCT PART,1-Jan-46,90000074.0,SCRIPPS HEALTH,ACTIVE,1-Jan-46,1-Jan-22,10-May-22,NONPROFIT CORP,32.751306,-117.1600785,"(-117.1600785,32.751306)",,37,SAN DIEGO,6073,,,,,,15-Mar-22,False,False,False,True
2173,LICENSED AND CERTIFIED,USE PARENT MATCH,,90001561,OPEN,CA090000145,050024,,1-Jul-66,26-Jul-19,1356410351,Y,Y,1.0,1.0,6/21/19 0:00,,JC,PARADISE VALLEY HOSP D/P APH BAYVIEW BEHAVIORAL HEALTH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,64,330 MOSS ST,CHULA VISTA,91911,2005,"LUNGU, JACK",,,(619) 426-6310,470,SAN DIEGO,10,SAN DIEGO,N,90000145.0,DISTINCT PART,29-Mar-66,90000086.0,"PRIME HEALTHCARE PARADISE VALLEY, LLC",ACTIVE,29-Mar-66,27-Aug-21,30-Apr-22,LIMITED LIABILITY COMPANY,32.617539,-117.071334,"(-117.071334,32.617539)",106370775.0,37,SAN DIEGO,6073,,,,,,15-Mar-22,False,False,False,True
2399,LICENSED AND CERTIFIED,,,110000073,OPEN,CA11000000073,054074,,26-Apr-84,25-Feb-14,1851381990,Y,Y,1.0,1.0,3/20/10 0:00,,JC,ADVENTIST HEALTH VALLEJO,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,61,525 OREGON ST,VALLEJO,94590,3201,"HERBER, M.D., STEVEN C",ROEBUCTM@AH.ORG,(707) 649-4009,(707) 649-4002,580,SOLANO,11,SANTA ROSA,Y,,PARENT,,110000042.0,ST. HELENA HOSPITAL,ACTIVE,17-Jun-63,1-Nov-21,31-Oct-22,NONPROFIT CORP,38.117781,-122.2491015,"(-122.2491015,38.117781)",106481015.0,48,SOLANO,6095,,,,,,15-Mar-22,False,False,False,True
2483,LICENSED ONLY,,,110000870,OPEN,CA110000870,,,,,,N,N,,,,,,RIVER COUNSELING,PSYCHC,PSYCHOLOGY CLINIC,NON-LTC,0,19375 HIGHWAY 116,MONTE RIO,95462,9716,"HORNER, DENISE",DENISE_HORNER@COMCAST.NET,(707) 865-5122,(707) 865-1200,590,SONOMA,11,SANTA ROSA,Y,,PARENT,,110000330.0,"REDWOOD PSYCHOLOGY CENTER, INC.",ACTIVE,17-Oct-97,17-Nov-21,16-Nov-22,NONPROFIT CORP,38.47800933,-122.997751,"(-122.997751,38.47800933)",306494069.0,49,SONOMA,6097,,,,,,15-Mar-22,False,False,False,True
2497,LICENSED AND CERTIFIED,USE PARENT MATCH,,110000955,OPEN,CA11000000361,050360,,1-Jul-66,11-Oct-17,1396725677,Y,Y,1.0,1.0,8/19/10 0:00,,JC,MARINHEALTH MEDICAL CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,17,250 BON AIR RD,GREENBRAE,94904,1702,"BUHRMANN, HENRY",,,(415) 461-0100,310,MARIN,11,SANTA ROSA,N,110000953.0,DISTINCT PART,1-Dec-85,110000361.0,MARIN GENERAL HOSPITAL,ACTIVE,1-Dec-85,30-Nov-21,29-Nov-22,NONPROFIT CORP,37.947339,-122.5359045,"(-122.5359045,37.947339)",,21,MARIN,6041,,,,,,15-Mar-22,False,False,False,True
2579,LICENSED ONLY,,,110001245,OPEN,CA110001245,,,,,,N,N,,,,,,LOMI PSYCHOTHERAPY CLINIC,PSYCHC,PSYCHOLOGY CLINIC,NON-LTC,0,534 B ST,SANTA ROSA,95401,5211,"POPE, THOMAS",SSWEENEY@LOMI.ORG,(707) 579-0560,(707) 579-0465,590,SONOMA,11,SANTA ROSA,Y,,PARENT,,110000511.0,"LOMI SCHOOL FOUNDATION, LOMI PSYCHOTHERAPY CLINIC",ACTIVE,12-Dec-03,12-Jun-21,11-Jun-22,NONPROFIT CORP,38.443077,-122.717538,"(-122.717538,38.443077)",306494102.0,49,SONOMA,6097,,,,,,15-Mar-22,False,False,False,True
2631,LICENSED AND CERTIFIED,,,120000402,OPEN,CA120000402,05S315,,,,,N,N,0.0,,,,,KERN MEDICAL CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,25,1700 MOUNT VERNON AVE,BAKERSFIELD,93306,4018,"JUDD, CEO, RUSSELL",,,(661) 326-2000,140,KERN,12,BAKERSFIELD,N,120000342.0,DISTINCT PART,1-Jul-53,120000182.0,KERN COUNTY HOSPITAL AUTHORITY,ACTIVE,1-Jul-53,13-Dec-21,30-Jun-22,OTHER PUBLIC AGENCY,35.382438,-118.9707885,"(-118.9707885,35.382438)",,15,KERN,6029,,,,,,15-Mar-22,False,False,False,True
2656,LICENSED AND CERTIFIED,USE PARENT MATCH,,120000666,OPEN,CA120000319,050257,,1-Jul-66,15-Jun-17,1205852209,Y,Y,1.0,1.0,4/7/17 0:00,,JC,GOOD SAMARITAN HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,21,901 OLIVE DR,BAKERSFIELD,93308,4137,"WHITEHOUSE, EDWARD",,,(661) 399-4461,140,KERN,12,BAKERSFIELD,N,120000319.0,DISTINCT PART,10-May-60,120000146.0,"GOOD SAMARITAN HOSP, A CALIF LIMITED PARTNERSHIP",ACTIVE,10-May-60,1-Dec-21,30-Nov-22,PARTNERSHIP,35.411724,-119.039733,"(-119.039733,35.411724)",,15,KERN,6029,,,,,,15-Mar-22,False,False,False,True
2723,LICENSED AND CERTIFIED,USE PARENT MATCH,,120001452,OPEN,CA040000106,050057,,1-Jul-66,12-Feb-20,1588663769,Y,Y,1.0,1.0,9/28/19 0:00,,JC,KAWEAH HEALTH MENTAL HEALTH HOSPITAL,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,63,1100 S AKERS ST,VISALIA,93277,8311,"FRATZKE, MARK S",,(559) 635-4064,(559) 624-3300,640,TULARE,12,BAKERSFIELD,N,120001444.0,DISTINCT PART,23-Feb-05,120000580.0,KAWEAH DELTA HEALTH CARE DISTRICT,ACTIVE,,13-Dec-21,31-Oct-22,HEALTH CARE DISTRICT,36.3205426,-119.350389,"(-119.350389,36.3205426)",106544009.0,54,TULARE,6107,,,,,,15-Mar-22,False,False,False,True
2852,LICENSED AND CERTIFIED,USE PARENT MATCH,,140000271,OPEN,CA140000012,050305,,1-Jul-66,,1639523004,Y,Y,1.0,1.0,1/11/08 0:00,,JC,ABSMC - HERRICK CAMPUS D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,68,2001 DWIGHT WAY,BERKELEY,94704,2608,,,,(650) 549-4430,0,ALAMEDA,2,EAST BAY,N,140000006.0,DISTINCT PART,23-Feb-05,140000004.0,SUTTER BAY HOSPITALS,ACTIVE,,1-Nov-21,31-Oct-22,NONPROFIT CORP,37.864233,-122.268978,"(-122.268978,37.864233)",,1,ALAMEDA,6001,,,,,,15-Mar-22,False,False,False,True
2855,LICENSED AND CERTIFIED,USE PARENT MATCH,,140000344,OPEN,CA00000000000195,050276,,1-Jul-66,30-Jul-18,1497820203,Y,Y,1.0,1.0,10/29/16 0:00,,JC,CONTRA COSTA REGIONAL MEDICAL CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,43,2500 ALHAMBRA AVENUE,MARTINEZ,94553,3156,,,,(925) 370-5100,60,CONTRA COSTA,2,EAST BAY,N,140000195.0,DISTINCT PART,23-Feb-05,140000090.0,COUNTY OF CONTRA COSTA,ACTIVE,,1-Dec-21,30-Nov-22,COUNTY,38.006865,-122.132898,"(-122.132898,38.006865)",,7,CONTRA COSTA,6013,,,,,,15-Mar-22,False,False,False,True
2857,LICENSED AND CERTIFIED,USE PARENT MATCH,,140000422,OPEN,CA140000034,050320,,1-Jul-66,29-Jan-20,1396764353,Y,Y,1.0,1.0,10/28/17 0:00,,JC,JOHN GEORGE PSYCHIATRIC HOSPITAL,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,80,2060 FAIRMONT DRIVE,SAN LEANDRO,94578,1001,"HOUSE, JUDY",,,(510) 346-1300,0,ALAMEDA,2,EAST BAY,N,140000034.0,DISTINCT PART,23-Feb-05,140000046.0,ALAMEDA HEALTH SYSTEM,ACTIVE,,1-Nov-21,31-Oct-22,OTHER PUBLIC AGENCY,37.71072,-122.1202305,"(-122.1202305,37.71072)",,1,ALAMEDA,6001,,,,,,15-Mar-22,False,False,False,True
2903,LICENSED AND CERTIFIED,,,140000707,OPEN,CA140000707,054110,,22-Feb-90,14-Nov-17,1245346741,Y,Y,1.0,1.0,3/27/17 0:00,,JC,FREMONT HOSPITAL,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,148,39001 SUNDALE DRIVE,FREMONT,94538,2005,"WILLIAMS, PATRICIA",PATRICIA.WILLIAMS3@UHSINC.COM,(510) 574-4871,(510) 796-1100,0,ALAMEDA,2,EAST BAY,Y,,PARENT,,140000347.0,"BHC FREMONT HOSPITAL, INC.",ACTIVE,,1-Dec-21,30-Nov-22,PROFIT CORP,37.546461,-121.979835,"(-121.979835,37.546461)",106014034.0,1,ALAMEDA,6001,,,,,,15-Mar-22,False,False,False,True
2920,LICENSED AND CERTIFIED,,,140000832,OPEN,CA140000832,054131,,15-Apr-93,7-Jul-16,1215962782,Y,Y,1.0,1.0,4/28/16 0:00,,JC,JOHN MUIR BEHAVIORAL HEALTH CENTER,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,73,2740 GRANT STREET,CONCORD,94520,2265,"TAMPLEN, JESSE",JESSE.TAMPLEN@JOHNMUIRHEALTH.COM,(925) 686-2476,(925) 674-4159,60,CONTRA COSTA,2,EAST BAY,Y,,PARENT,,140000418.0,JOHN MUIR HEALTH,ACTIVE,1-Jan-97,1-Jan-22,31-Dec-22,NONPROFIT CORP,37.98564534,-122.0384597,"(-122.0384597,37.985645343)",106074039.0,7,CONTRA COSTA,6013,,,,,,15-Mar-22,False,False,False,True
2927,LICENSED AND CERTIFIED,,,140000921,OPEN,CA140000921,054662,,5-Oct-95,12-Jun-17,,N,Y,0.0,,,,,PORTIA BELL HUME BEHAVIORAL HEALTH & TRAINING CENTER,PSYCHC,PSYCHOLOGY CLINIC,NON-LTC,0,1333 WILLOW PASS RD,CONCORD,94520,5220,,LMIAO@HUMECENTER.ORG,(925) 825-7094,(925) 825-1793,60,CONTRA COSTA,2,EAST BAY,Y,,PARENT,,140000460.0,PORTIA BELL HUME BEHAVIORAL HEALTH & TRAINING CTR,ACTIVE,,26-Nov-21,25-Nov-22,NONPROFIT CORP,37.969776,-122.051943,"(-122.051943,37.969776)",306074124.0,7,CONTRA COSTA,6013,,,,,,15-Mar-22,False,False,False,True
2965,LICENSED ONLY,USE PARENT MATCH,,140001076,OPEN,CA140000199,,,,,,Y,Y,,,,,,VALLEY MEMORIAL HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,14,1111 E STANLEY BOULEVARD,LIVERMORE,94550,4115,"BROWN, VERN",,,(925) 447-7000,0,ALAMEDA,2,EAST BAY,N,140000199.0,DISTINCT PART,23-Feb-05,140000114.0,THE HOSPITAL COMMITTEE FOR THE LIVERMORE-PLEASANTON AREAS,ACTIVE,,23-Feb-22,8-Dec-22,NONPROFIT CORP,37.67706,-121.78179,"(-121.78179,37.67706)",,1,ALAMEDA,6001,,,,,,15-Mar-22,False,False,False,True
3028,LICENSED AND CERTIFIED,,,140001298,OPEN,CMHC00007,054654,,17-Mar-93,17-Oct-19,,N,Y,0.0,,,,,LA CHEIM  BEHAVIORAL HEALTH SERVICES-OAKLAND,PSYCHC,PSYCHOLOGY CLINIC,NON-LTC,0,3031 TELEGRAPH AVENUE,OAKLAND,94609,3205,"VALFER, ERNST",PHP-IOP@LACHEIM.ORG,(510) 225-2745,(510) 596-8125,0,ALAMEDA,2,EAST BAY,Y,,PARENT,,140000664.0,"LA CHEIM SCHOOL, INC.",ACTIVE,,14-May-21,13-May-22,NONPROFIT CORP,37.819737,-122.2673985,"(-122.2673985,37.819737)",306014274.0,1,ALAMEDA,6001,,,,,,15-Mar-22,False,False,False,True
3076,LICENSED AND CERTIFIED,,,150001223,OPEN,CA150001223,054122,,6-Feb-91,,,Y,Y,1.0,1.0,4/3/21 0:00,,JC,DEPARTMENT OF STATE HOSPITALS - NAPA,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,151,2100 NAPA VALLEJO HWY,NAPA,94558,6234,"MATTEUCCI, DOLLY",TENNILLE.TUNE@DSH.CA.GOV,(707) 253-5548,(707) 253-5014,380,NAPA,17,STATE FACILITIES SECTION,Y,,PARENT,,150000492.0,"STATE OF CALIFORNIA, DEPARTMENT OF STATE HOSPITALS",ACTIVE,1-Jan-46,1-May-21,30-Apr-22,STATE AGENCY,38.278035,-122.266836,"(-122.266836,38.278035)",106281266.0,28,NAPA,6055,,,,,,15-Mar-22,False,False,False,True
3084,LICENSED ONLY,,,150001243,OPEN,CA160001339,,,,,,Y,Y,0.0,,,,,DEPARTMENT OF STATE HOSPITALS - ATASCADERO,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,311,10333 EL CAMINO REAL,ATASCADERO,93422,5808,"BLACK, JASON",ASHSTANDARDSCOMPLIANCELICENSING@DSH.CA.GOV,(805) 468-3000,(805) 468-2000,500,SAN LUIS OBISPO,17,STATE FACILITIES SECTION,Y,,PARENT,,150000498.0,"STATE OF CALIFORNIA, DEPARTMENT OF STATE HOSPITALS",ACTIVE,16-Jun-54,30-Nov-21,29-Nov-22,STATE AGENCY,35.46109506,-120.6443786,"(-120.6443786,35.461095061)",106400683.0,40,SAN LUIS OBISPO,6079,,,,,,15-Mar-22,False,False,False,True
3089,LICENSED ONLY,,,170001855,OPEN,CA170001855,,,,,,Y,Y,0.0,,,,,DEPARTMENT OF STATE HOSPITALS - PATTON,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,427,3102 E HIGHLAND AVE,PATTON,92369,7813,"WALLACE, JANINE",JESSICA.ABENES@DSH.CA.GOV,(909) 425-7536,(909) 425-7407,460,SAN BERNARDINO,17,STATE FACILITIES SECTION,Y,,PARENT,,170000831.0,"STATE OF CALIFORNIA, DEPARTMENT OF STATE HOSPITALS",ACTIVE,29-Sep-75,1-May-21,30-Apr-22,STATE AGENCY,34.13583857,-117.2195129,"(-117.2195129,34.135838565)",106361768.0,36,SAN BERNARDINO,6071,,,,,,15-Mar-22,False,False,False,True
3091,LICENSED AND CERTIFIED,,,170001858,OPEN,CA930000139,054133,,30-Nov-93,,,Y,Y,1.0,1.0,7/19/14 0:00,,JC,DEPARTMENT OF STATE HOSPITALS - METROPOLITAN,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,1004,11401 SOUTH BLOOMFIELD AVE,NORWALK,90650,2015,"BARSOM, MICHAEL",JOSEPHINE.SALUMBIDES@DSH.CA.GOV,(562) 651-4546,(562) 677-5724,200,LOS ANGELES,17,STATE FACILITIES SECTION,Y,,PARENT,,170000832.0,"STATE OF CALIFORNIA, DEPARTMENT OF STATE HOSPITALS",ACTIVE,16-Feb-16,26-Mar-21,25-Mar-22,STATE AGENCY,33.92419547,-118.0640232,"(-118.0640232,33.924195474)",106190958.0,19,LOS ANGELES,6037,,,,,,15-Mar-22,False,False,False,True
3126,LICENSED AND CERTIFIED,,,220000033,OPEN,CA220000033,054144,,19-Mar-98,4-Jun-20,1407900095,Y,Y,1.0,1.0,6/15/19 0:00,,JC,LANGLEY PORTER PSYCHIATRIC INSTITUTE,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,56,401 PARNASSUS AVE,SAN FRANCISCO,94143,2211,"BOURNE, PARVEEN",KELLY.INGRASSIA@UCSF.EDU,(415) 476-7320,(415) 476-7000,480,SAN FRANCISCO,22,SAN FRANCISCO,Y,,PARENT,,220000377.0,UNIVERSITY OF CALIFORNIA BOARD OF REGENTS,ACTIVE,1-Nov-97,1-Nov-21,31-Oct-22,UC REGENT,37.76374687,-122.4567674,"(-122.4567674,37.763746868)",106380868.0,38,SAN FRANCISCO,6075,,,,,,15-Mar-22,False,False,False,True
3172,LICENSED AND CERTIFIED,USE PARENT MATCH,,220000225,OPEN,CA220000030,050457,,1-Jul-66,22-Dec-21,1932243003,Y,Y,1.0,1.0,11/21/20 0:00,,JC,ST. MARY'S MEDICAL CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,35,450 STANYAN ST,SAN FRANCISCO,94117,1019,,,,(415) 668-1000,480,SAN FRANCISCO,22,SAN FRANCISCO,N,220000030.0,DISTINCT PART,1-Jan-46,220000071.0,DIGNITY HEALTH,ACTIVE,1-Jan-46,5-May-21,4-May-22,NONPROFIT CORP,37.774062,-122.454189,"(-122.454189,37.774062)",,38,SAN FRANCISCO,6075,,,,,,15-Mar-22,False,False,False,True
3173,LICENSED AND CERTIFIED,USE PARENT MATCH,,220000234,OPEN,CA220000029,050152,,1-Jul-66,1-Dec-20,1316061997,Y,Y,1.0,1.0,4/18/14 0:00,,JC,SAINT FRANCIS MEMORIAL HOSPITAL D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,35,900 HYDE ST,SAN FRANCISCO,94109,4806,,,,(415) 775-4321,480,SAN FRANCISCO,22,SAN FRANCISCO,N,220000029.0,DISTINCT PART,23-Feb-05,220000069.0,SAINT FRANCIS MEMORIAL HOSPITAL,ACTIVE,,1-Jan-22,31-Dec-22,NONPROFIT CORP,37.789632,-122.4165555,"(-122.4165555,37.789632)",,38,SAN FRANCISCO,6075,,,,,,15-Mar-22,False,False,False,True
3176,LICENSED AND CERTIFIED,USE PARENT MATCH,,220000327,OPEN,CA220000022,050047,,1-Jul-66,25-Mar-20,1902964109,Y,Y,1.0,1.0,1/26/19 0:00,,JC,CALIFORNIA PACIFIC MEDICAL CENTER - D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,18,2323 SACRAMENTO ST,SAN FRANCISCO,94115,1925,,,,(415) 563-4321,480,SAN FRANCISCO,22,SAN FRANCISCO,N,220000022.0,DISTINCT PART,23-Feb-05,220000197.0,SUTTER BAY HOSPITALS,ACTIVE,,30-Jan-22,29-Jan-23,NONPROFIT CORP,37.789875,-122.4315135,"(-122.4315135,37.789875)",106380031.0,38,SAN FRANCISCO,6075,,,,,,15-Mar-22,False,False,False,True
3178,LICENSED AND CERTIFIED,USE PARENT MATCH,,220000334,OPEN,CA220000007,050113,,1-Jul-66,15-Jun-20,1386713030,Y,Y,1.0,1.0,3/19/16 0:00,,JC,SAN MATEO MEDICAL CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,34,222 W 39TH AVE,SAN MATEO,94403,4364,"KUNNAPPILLY, CHESTER J",,,(650) 573-2222,510,SAN MATEO,22,SAN FRANCISCO,N,220000007.0,DISTINCT PART,23-Feb-05,220000015.0,COUNTY OF SAN MATEO,ACTIVE,,1-Feb-22,31-Jan-23,COUNTY,37.531332,-122.2993665,"(-122.2993665,37.531332)",,41,SAN MATEO,6081,,,,,,15-Mar-22,False,False,False,True
3182,LICENSED AND CERTIFIED,USE PARENT MATCH,,220000415,OPEN,CA220000026,050289,,1-Jul-66,,1023636545,Y,Y,1.0,1.0,8/19/17 0:00,,JC,AHMC SETON MEDICAL CENTER D/P APH,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,24,1900 SULLIVAN AVE,DALY CITY,94015,2200,"ARMADA, ANTHONY",,,(650) 992-4000,510,SAN MATEO,22,SAN FRANCISCO,N,220000026.0,DISTINCT PART,1-Oct-80,220000026.0,AHMC SETON MEDICAL CENTER LLC,ACTIVE,1-Oct-80,1-Jan-22,31-Dec-22,LIMITED LIABILITY COMPANY,37.680354,-122.474961,"(-122.474961,37.680354)",,41,SAN MATEO,6081,,,,,,15-Mar-22,False,False,False,True
3191,LICENSED AND CERTIFIED,,,220000516,OPEN,CA220000516,054089,,16-Sep-87,4-Mar-20,1275525115,Y,Y,0.0,,,,,JEWISH HOME & REHAB CENTER,APH,ACUTE PSYCHIATRIC HOSPITAL,NON-LTC,13,302 SILVER AVE,SAN FRANCISCO,94112,1510,"BOGART, GREGORY K",MJUDILLA@SFCJL.ORG,(415) 500-9812,(415) 469-2214,480,SAN FRANCISCO,22,SAN FRANCISCO,Y,,PARENT,,220000224.0,HEBREW HOME FOR AGED DISABLED,ACTIVE,,1-May-21,30-Apr-22,NONPROFIT CORP,37.728261,-122.429952,"(-122.429952,37.728261)",106380842.0,38,SAN FRANCISCO,6075,,,,,,15-Mar-22,False,False,False,True
