facility_name,facility_type,address,city,county,state,zip,capacity,latitude,longitude,other_details,phone_number
"Alcohol And Substance Abuse Programs, Inc.",RES-DETOX,1084 New York Drive,ALTADENA,Los Angeles County,CA,91001,6,34.1784015,-118.1281995,Co-Ed,(626) 798-2727 
Weingart Center Association,RES,554 South San Pedro Street,LOS ANGELES,Los Angeles County,CA,90013,85,34.04279718,-118.2448367,Co-Ed,(213) 627-9000 
Weingart Center Association,NON,566 S. San Pedro Street,LOS ANGELES,Los Angeles County,CA,90013,0,34.04256377,-118.2450085,Co-Ed,(213) 627-9000 
"Alcohol And Substance Abuse Programs, Inc.",RES-DETOX,1550 Atchison Street,PASADENA,Los Angeles County,CA,91104,6,34.17589047,-118.1186505,Co-Ed,(626) 798-2727 
"Authentic Recovery, Llc",RES-DETOX,2207 Pelham Avenue,LOS ANGELES ,Los Angeles County,CA,90064,6,34.04624658,-118.4271148,Co-Ed,(310) 740-2382 
"Authentic Recovery, Llc",RES-DETOX,10700 Cushdon Avenue,LOS ANGELES,Los Angeles County,CA,90064,6,34.03952374,-118.4233167,Co-Ed,(310) 740-2382 
"Authentic Recovery, Llc",RES-DETOX,2203 Overland Avenue,LOS ANGELES,Los Angeles County,CA,90064,6,34.045695,-118.4282415,Co-Ed,(310) 740-2382 
"Divine Healthcare Services, Inc.",NON,405 West Manchester Boulevard,INGLEWOOD,Los Angeles County,CA,90301,0,33.96204,-118.362132,Youth/Adolescent,(310) 672-3820 
"Malibu Lighthouse Treatment Center, Llc",RES-DETOX,27026 Sea Vista Drive,MALIBU,Los Angeles County,CA,90265,6,34.02747,-118.760985,Co-Ed,(310) 457-9977 
6390 Meadows Court Llc,RES-DETOX,6390 Meadows Court,MALIBU,Los Angeles County,CA,90265,6,34.02864563,-118.7682058,Co-Ed,(310) 589-2880 
6390A Meadows Court Llc,RES-DETOX,6390-B Meadows Court ,MALIBU,Los Angeles County,CA,90265,5,34.02864563,-118.7682058,Co-Ed,(310) 589-2880 
Seasons Recovery Centers Llc,RES-DETOX,6021 Galahad Road,MALIBU,Los Angeles County,CA,90265,6,34.02692698,-118.7992271,Co-Ed,(424) 234-2044 
You Can Health Services,NON,600 West Manchester Avenue,LOS ANGELES,Los Angeles County,CA,90044,0,33.96003578,-118.2840934,Youth/Adolescent,(310) 349-9778 
"Holy Addiction Care Center, Inc.",NON-DETOX,6260 Laurel Canyon Blvd,NORTH HOLLYWOOD,Los Angeles County,CA,91606,0,34.184646,-118.396511,Co-Ed,(747) 204-8884 
The Ranch Malibu Venture 1,RES,200 Vera Canyon Road,MALIBU,Los Angeles County,CA,90265,12,34.092756,-118.8185535,Co-Ed,(818) 879-9110 
"Oceanside Transitional Living In Malibu, Inc.",NON,8300 Valley Circle Boulevard,WEST HILLS,Los Angeles County,CA,91304,0,34.219647,-118.6465945,Co-Ed,(818) 917-3225 
"Oceanside Transitional Living In Malibu, Inc.",RES-DETOX,21022 Pacific Coast Highway,MALIBU,Los Angeles County,CA,90265,6,34.03744478,-118.632642,Co-Ed,(310) 456-3355 
Seasons Recovery Centers Llc,RES-DETOX,31739 Pacific Coast Highway,MALIBU,Los Angeles County,CA,90265,6,34.038738,-118.8660285,Co-Ed,(424) 234-2060 
"Eggleston Youth Centers, Inc.",NON,13001 Ramona Boulevard,IRWINDALE,Los Angeles County,CA,91706,0,34.07970642,-117.9895585,Youth/Adolescent,(626) 349-0388 
"Mela Counseling Services Center, Inc.",NON,5723 Whittier Boulevard,LOS ANGELES,Los Angeles County,CA,90022-4222,0,34.01856,-118.1474595,Co-Ed/Youth,(323) 721-6855 
"Jwch Institute, Inc.",NON,1218 East Compton Blvd,COMPTON,Los Angeles County,CA,90221,0,33.89599153,-118.209798,Co-Ed,(310) 608-1505 
"Jwch Institute, Inc.",RES,303 East 52Nd Street,LOS ANGELES,Los Angeles County,CA,90011,31,33.995502,-118.269936,Women/Children,(323) 813-0200 
La Fuente Hollywood Treatment Center Llc,RES-DETOX,5718 Fountain Avenue,LOS ANGELES,Los Angeles County,CA,90028,10,34.09469314,-118.3142941,Co-Ed,(323) 464-2947 
Healthright 360,RES-DETOX,12423 Dahlia Avenue,EL MONTE,Los Angeles County,CA,91732,72,34.05527444,-118.0138267,Women/Children,(626) 258-0325 
La Fuente Hollywood Treatment Center Llc,NON,1601 North Gower Street,LOS ANGELES,Los Angeles County,CA,90028,0,34.099992,-118.3223655,Co-Ed,(323) 464-2947 
"Spencer Recovery Centers, Inc.",NON,2530 Hyperion Avenue,LOS ANGELES,Los Angeles County,CA,90027,0,34.10523441,-118.2729051,Co-Ed,(949) 313-5223 
Avalon-Carver Community Center,NON,4920 South Avalon Boulevard,LOS ANGELES,Los Angeles County,CA,90011,0,33.99813,-118.2652125,Co-Ed,(323) 232-4391 
Healthright 360,RES,2307 West 6Th Street,LOS ANGELES,Los Angeles County,CA,90057,200,34.06062436,-118.2772378,Men Only,(213) 351-2800 
Healthright 360,NON,145 West 22Nd Street,LOS ANGELES,Los Angeles County,CA,90007,0,34.02902091,-118.267943,Co-Ed,(415) 970-7500 
Healthright 360,NON,2650 East Foothill Boulevard,PASADENA,Los Angeles County,CA,91107,0,34.149537,-118.0957095,Dual Diagnosis,(626) 577-2261 
"Malibu California Model Drug Treatment Center, Inc.",NON-DETOX,30101 Agoura Court,AGOURA HILLS,Los Angeles County,CA,91301,0,34.14627381,-118.7783878,Co-Ed,(818) 532-6243 
Families For Children Inc.,NON,2504 W. Manchester Boulevard,INGLEWOOD,Los Angeles County,CA,90305,0,33.95990092,-118.3211669,Co-Ed,(323) 750-5855 
Healthright 360,NON,831 E. Arrow Highway,POMONA,Los Angeles County,CA,91767,0,34.0903045,-117.735301,Dual Diagnosis,(909) 398-4383 
Healthright 360,RES-DETOX,845 E. Arrow Highway,POMONA,Los Angeles County,CA,91767,164,34.09031239,-117.7347173,Women/Children,(909) 624-1233 
"Malibu California Model Drug Treatment Center, Inc.",RES-DETOX,3875 Kanan Road,AGOURA HILLS,Los Angeles County,CA,91301,12,34.13065948,-118.7622339,Co-Ed,(818) 532-6243 
"Design For Living Behavior Health, Inc.",RES-DETOX,39860 27Th Street West,PALMDALE,Los Angeles County,CA,93551,6,34.60675808,-118.1788114,Co-Ed,(661) 800-4828 
"Pax House, Inc.",NON,2052 N. Lake Avenue,ALTADENA,Los Angeles County,CA,91001,0,34.18108088,-118.1316914,Co-Ed,(626) 808-0335 
Southern California Health & Rehabilitation Program,NON,3850 Crenshaw Boulevard,LOS ANGELES,Los Angeles County,CA,90008,0,34.01601049,-118.3348525,Co-Ed,(323) 751-2677 
"Advances In Mental Health And Addictions Treatment, Inc.",NON,5199 E. Pacific Coast Highway,LONG BEACH,Los Angeles County,CA,90804,0,33.783453,-118.1323755,Co-Ed,(562) 365-2020 
"Hope Alive Counseling Centers, Llc",RES,4242 Lavinia Avenue,LYNWOOD,Los Angeles County,CA,90262,6,33.91371162,-118.194434,Co-Ed,(310) 710-2280 
"The Canyon At Santa Monica, Llc",NON,12304 Santa Monica Boulevard,LOS ANGELES,Los Angeles County,CA,90025,0,34.039116,-118.465551,Co-Ed,(424) 832-7368 
"Hope Alive Counseling Centers, Llc",NON,1307 E. Compton Boulevard,COMPTON,Los Angeles County,CA,90221,0,33.89608951,-118.20914,Co-Ed,(310) 710-2280 
"Motivational Recovery Services, Inc.",NON,2116 S. Central Avenue ,LOS ANGELES,Los Angeles County,CA,90011,0,34.02197918,-118.2527723,Co-Ed,(213) 493-4664 
"The Discovery House, Llc",RES-DETOX,6957 Enfield Avenue,RESEDA,Los Angeles County,CA,91335,30,34.197327,-118.5236685,Co-Ed,(818) 654-4907 
"Turning Point Alcohol And Drug Education Program, Inc.",NON,3756 Santa Rosalia Drive,LOS ANGELES,Los Angeles County,CA,90008,0,34.008822,-118.339164,Co-Ed,(323) 296-1840 
"Visions Treatment Centers, Llc",NON,2142 Pontius Avenue,LOS ANGELES,Los Angeles County,CA,90025,0,34.04019848,-118.4387625,Co-Ed,(310) 476-0033 
Elijah'S House Tx Corp.,RES-DETOX,1617 Asbury Drive,PASADENA,Los Angeles County,CA,91104,10,34.16670053,-118.1170845,Co-Ed,(626) 389-4110 
Discovery Transitions Outpatient,NON,17635 Vanowen Street,VAN NUYS,Los Angeles County,CA,91406,0,34.19389347,-118.5179625,Co-Ed,(805) 228-2628 
Elijah'S House Tx Corp.,NON,1000 E. Walnut Street,PASADENA,Los Angeles County,CA,91106,0,34.14956887,-118.1298168,Co-Ed,(877) 557-4477 
"San Fernando Valley Community Mental Health Center, Incorporated",NON,16650 Sherman Way,VAN NUYS,Los Angeles County,CA,91406,0,34.20108554,-118.4962275,Co-Ed,(818) 901-4836 
"Compatior, Inc.",NON,4363 Tweedy Blvd.,SOUTH GATE,Los Angeles County,CA,90280,0,33.9431053,-118.1952236,Co-Ed,(323) 378-2009 
"James & Bentz, Inc.",NON-DETOX,22601 Pacific Coast Highway,MALIBU,Los Angeles County,CA,90265,0,34.03962084,-118.6668234,Dual Diagnosis,(310) 924-0780 
"Acadia Malibu, Inc.",RES-DETOX, 3743 S. Barrington Avenue,LOS ANGELES,Los Angeles County,CA,90066,18,34.00825804,-118.4275242,Co-Ed,(310) 975-5344 
"James & Bentz, Inc.",RES-DETOX,31454 Broad Beach Road,MALIBU,Los Angeles County,CA,90265,6,34.03600344,-118.8595199,Co-Ed,(424) 644-0707 
"James & Bentz, Inc.",RES-DETOX,31450 Broad Beach Road,MALIBU,Los Angeles County,CA,90265,6,34.0359851,-118.8593579,Co-Ed,(310) 924-0780 
"Vita Behavioral Health, Inc.",RES-DETOX,14000 Valerio Street,VAN NUYS,Los Angeles County,CA,91405,6,34.20480354,-118.4379959,Co-Ed,(747) 998-5627 
"Acadia Malibu, Inc.",NON,4423 Santa Monica Blvd.,LOS ANGELES,Los Angeles County,CA,90029,0,34.09089352,-118.2852855,Co-Ed,(310) 579-5192 
"Breathe Weho Treatment Services, Llc",RES,8020 Jovenita Canyon Drive,LOS ANGELES,Los Angeles County,CA,90046,6,34.11368182,-118.3720916,Co-Ed,(323) 997-4409 
Rehoboth Drug And Alcohol Prevention Center,NON,568 W. Compton Blvd,COMPTON,Los Angeles County,CA,90220,0,33.89588155,-118.233621,Co-Ed,(310) 663-0789 
Design For Change,NON,44501 16Th Street West,LANCASTER,Los Angeles County,CA,93534,0,34.69108635,-118.1585826,Co-Ed,(661) 945-2317 
"A New Start Treatment And Recovery Center, Llc",NON,1251 Westwood Blvd,LOS ANGELES,Los Angeles County,CA,90024,0,34.05766782,-118.4432193,Dual Diagnosis,(310) 287-1919 
"A New Start Treatment And Recovery Center, Llc",RES-DETOX,4111 Milton Avenue,CULVER CITY,Los Angeles County,CA,90232,24,34.00992377,-118.4078539,Dual Diagnosis,(310) 287-1919 
Design For Change,RES-DETOX,1066 East Avenue ,LANCASTER,Los Angeles County,CA,93535,12,34.70408148,-118.1113618,Co-Ed,(661) 942-1026 
Infinite Recovery Solutions Llc,RES-DETOX,7811 Peach Avenue,VAN NUYS,Los Angeles County,CA,91406-2031,6,34.212474,-118.4687395,Co-Ed,(747) 264-9306 
"The Village Family Services, Inc.",NON,6736 Laurel Canyon Boulevard,NORTH HOLLYWOOD,Los Angeles County,CA,91606,0,34.193223,-118.3964915,Co-Ed,(818) 755-8786 
"The Villa Treatment Center, Llc",RES-DETOX,5051 Hood Drive,WOODLAND HILLS,Los Angeles County,CA,91364,6,34.16234369,-118.5678364,Co-Ed,(747) 226-0187 
"Breathe Weho Treatment Services, Llc",NON,860 Melrose Ave, LOS ANGELES,Los Angeles County,CA,90046,0,34.08373374,-118.3571455,Co-Ed,(800) 929-5904 
"Bienestar Human Services, Inc",NON,8134 Van Nuys Boulevard,PANORAMA CITY,Los Angeles County,CA,91402,0,34.21895199,-118.4487388,Co-Ed/Youth,(818) 908-3820 
"The Teen Project, Inc.",RES-DETOX,8140 Sunland Boulevard,SUN VALLEY,Los Angeles County,CA,91352,74,34.21827329,-118.3696657,Co-Ed,(818) 582-8832 
Sober Stages Incorporated Outpatient Program,NON,19562 Ventura Boulevard,TARZANA,Los Angeles County,CA,91356,0,34.1727165,-118.5596333,Co-Ed,(818) 705-6345 
"Coast To Coast Referral Center, Inc.",NON,2530 Hyperion Avenue,LOS ANGELES,Los Angeles County,CA,90027,0,34.10523441,-118.2729051,Co-Ed,(949) 313-5223 
"Haven House, Inc.",RES-DETOX,2252 Hillsboro Avenue,LOS ANGELES,Los Angeles County,CA,90034,6,34.04140496,-118.3881313,Co-Ed,(310) 876-0988 
"Roots, Inc.",NON,3939 Atlantic Avenue,LONG BEACH,Los Angeles County,CA,90807,0,33.8301,-118.1851065,Co-Ed,(562) 473-0827 
Lat Intensive Outpatient Programs Inc.,NON, 4551 Glencoe Avenue,MARINA DEL REY,Los Angeles County,CA,90292,0,33.98448832,-118.4340434,Co-Ed,(310) 572-7000 
"New Directions Alcohol And Drug Services, Inc.",NON,1331 West Avenue J,LANCASTER,Los Angeles County,CA,93534,0,34.690068,-118.155681,Co-Ed,(661) 942-2255 
Los Angeles Lgbt Center,NON,1625 N. Schrader Boulevard ,LOS ANGELES,Los Angeles County,CA,90028,0,34.10046,-118.3324865,Co-Ed,(323) 993-7448 
"Sea Change Santa Monica, L.P.",NON,1831 Wilshire Boulevard,SANTA MONICA,Los Angeles County,CA,90403,0,34.03041895,-118.4845049,Co-Ed,(424) 268-4322 
Malibu Balance Day Treatment Inc.,NON-DETOX,4505 Las Virgenes Road,CALABASAS,Los Angeles County,CA,91302,0,34.14028702,-118.7001839,Co-Ed,(818) 880-0800 
"Westside Treatment, Llc",NON,11150 W. Olympic Boulevard,LOS ANGELES,Los Angeles County,CA,90064,0,34.0397366,-118.4386735,Co-Ed,(888) 995-7687 
"Sea Change Santa Monica, L.P.",RES-DETOX,1807 Pier Avenue,SANTA MONICA,Los Angeles County,CA,90405,6,34.01036421,-118.462171,Co-Ed,(888) 823-3310 
"Sea Change Santa Monica, L.P.",RES-DETOX,2205 Hill Street,SANTA MONICA,Los Angeles County,CA,90405,6,34.0137409,-118.4614464,Co-Ed,(424) 268-4322 
Malibu Hills Treatment Corp. ,RES-DETOX,265 Westlake Boulevard,MALIBU,Los Angeles County,CA,90265,6,34.106976,-118.857996,Co-Ed,(818) 706-9000 
Malibu Hills Treatment Corp. ,RES-DETOX,415 Westlake Boulevard,MALIBU,Los Angeles County,CA,90265,6,34.10874,-118.8566595,Co-Ed,(818) 597-0025 
"Agoura Neurofeedback, Inc.",NON,28720 Roadside Drive,AGOURA HILLS,Los Angeles County,CA,91301,0,34.14414766,-118.7517986,Co-Ed,(855) 717-3268 
Revive Detox,RES-DETOX,360 N. Vista Street,LOS ANGELES,Los Angeles County,CA,90036,6,34.07793484,-118.3522147,Co-Ed,(323) 452-0921 
Changing Steps Network Inc.,RES-DETOX,9339 Louise Avenue,NORTHRIDGE,Los Angeles County,CA,91325,6,34.24064444,-118.5112529,Co-Ed,(818) 477-2874 
Changing Steps Network Inc.,NON-DETOX,14540 Hamlin Street,VAN NUYS,Los Angeles County,CA,91411,0,34.188462,-118.4502195,Co-Ed,(323) 202-8432 
"Destinations To Recovery, Llc",NON,20951 Burbank Blvd.,"WOODLAND HILLS, ",Los Angeles County,CA,91367,0,34.17334938,-118.5899089,Youth/Adolescent,(818) 737-2221 
"Lmpg Foundation, Llc",RES,1440 E. 41St Street,LOS ANGELES,Los Angeles County,CA,90011,40,34.00867513,-118.247945,Men Only,(323) 231-2585 
Nova Vitae Treatment Centers Inc.,RES-DETOX,6923 Alabama Ave.,CANOGA PARK,Los Angeles County,CA,91303,6,34.19602041,-118.5990805,Co-Ed,(818) 579-2326 
California Recovery Centers Llc,RES-DETOX,23304 Happy Valley Drive,NEWHALL,Los Angeles County,CA,91321,6,34.37573804,-118.5379436,Co-Ed,(818) 571-9841 
"Southern California Recovery, Llc",RES-DETOX,1771 Summitridge Drive,BEVERLY HILLS,Los Angeles County,CA,90210,6,34.10349291,-118.4204823,Co-Ed,(424) 249-3391 
"Alta Centers, Inc.",RES-DETOX,6100 Rodgerton Drive,LOS ANGELES,Los Angeles County,CA,90068,6,34.12482984,-118.3197204,Co-Ed,(818) 616-7443 
"Central City Community Health Center, Inc.",NON,5970 S. Central Avenue,LOS ANGELES,Los Angeles County,CA,90022,0,33.985584,-118.2564345,Co-Ed,(323) 724-0019 
"Restore Health And Wellness Center, Llc",RES-DETOX,10821 Baile Avenue,CHATSWORTH,Los Angeles County,CA,91311-8405,6,34.266924,-118.562949,Co-Ed,(747) 300-2474 
"Md Home Detox Consulting, Inc",NON,1849 Sawtelle Blvd,LOS ANGELES,Los Angeles County,CA,90025,0,34.0425,-118.4454135,Co-Ed,(310) 779-4476 
"Restore Health And Wellness Center, Llc",RES-DETOX,10342 De Soto Ave.,CHATSWORTH,Los Angeles County,CA,91311,6,34.25857049,-118.5885566,Co-Ed,(626) 497-1480 
"Restore Health And Wellness Center, Llc",RES-DETOX,10344 De Soto Ave,CHATSWORTH,Los Angeles County,CA,91311,6,34.25844548,-118.588526,Co-Ed,(626) 497-1480 
Clear Inc.,NON,201 Herondo Street,REDONDO BEACH,Los Angeles County,CA,90277,0,33.85424556,-118.3915832,Co-Ed,(310) 374-2555 
"1 Method, Llc",RES-DETOX,10254 Bannockburn Drive,LOS ANGELES,Los Angeles County,CA,90064,6,34.03450987,-118.4079727,Co-Ed,(310) 837-7330 
"Restore Health And Wellness Center, Llc",NON,6918 Owensmouth Avenue,CANOGA PARK,Los Angeles County,CA,91303,0,34.19608441,-118.6015064,Co-Ed,(818) 806-3194 
"1 Method, Llc",NON,1964 Westwood Blvd.,LOS ANGELES,Los Angeles County,CA,90025,0,34.04718811,-118.4345392,Dual Diagnosis,(310) 837-7330 
Clear Inc.,NON,18123 Prairie Avenue,TORRANCE,Los Angeles County,CA,90504,0,33.86627838,-118.3438376,Co-Ed,(877) 799-1985 
Clear Inc.,NON,2309 W. 190Th Street,REDONDO BEACH,Los Angeles County,CA,90278,0,33.85833,-118.3692528,Co-Ed,(877) 799-1985 
Clear Inc.,RES-DETOX,328 N. Prospect,REDONDO BEACH,Los Angeles County,CA,90277,14,33.84749964,-118.3774491,Co-Ed,(877) 799-1985 
Clear Inc.,NON,515 N. Sepulveda Blvd.,MANHATTAN BEACH,Los Angeles County,CA,90266,0,33.882417,-118.3964355,Dual Diagnosis,(877) 779-1985 
Shirley Bennett,NON,3025 North Lincoln Avenue,ALTADENA,Los Angeles County,CA,91001,0,34.19765432,-118.1590179,Co-Ed,(626) 765-6905 
Hazelden Betty Ford Foundation,NON,10700 Santa Monica Boulevard,LOS ANGELES,Los Angeles County,CA,90025,0,34.05180621,-118.4319332,Co-Ed,(888) 338-9773 
"Malibu Detox, Llc",RES-DETOX,7212 Birdview Avenue,MALIBU,Los Angeles County,CA,90265,15,34.00639351,-118.8101122,Dual Diagnosis,(310) 958-4692 
Lake Hughes Recovery,RES-DETOX,49713 Gorman Post Road,GORMAN,Los Angeles County,CA,93243,100,34.79617611,-118.8516963,Men Only,(661) 724-0001 
"Miracles In Action, Llc",NON,290 E Verdugo Avenue,BURBANK,Los Angeles County,CA,91502,0,34.179525,-118.304334,Co-Ed,(818) 429-9103 
"Malibu Detox, Llc",RES-DETOX,21965 Saddle Peak Road,TOPANGA,Los Angeles County,CA,90290,18,34.07670861,-118.6176672,Co-Ed,(310) 956-4692 
"Miracles In Action, Llc",NON,9241 Reseda Blvd.,NORTHRIDGE,Los Angeles County,CA,91324,0,34.238367,-118.536106,Co-Ed,(818) 429-9103 
"Thrive Treatment, Llc",NON,3101 Ocean Park Boulevard,SANTA MONICA,Los Angeles County,CA,90405,0,34.02073675,-118.4527451,Co-Ed,(424) 252-6955 
Elevation Behavioral Health Llc,RES-DETOX,29816 Westhaven Drive,AGOURA HILLS,Los Angeles County,CA,91301,6,34.11715359,-118.7765085,Co-Ed,(858) 877-0909 
"Jmg Investments, Inc.",RES-DETOX,23041 Hatteras Street,WOODLAND HILLS,Los Angeles County,CA,91367,6,34.17556278,-118.6288728,Co-Ed,(818) 796-4369 
"Jmg Investments, Inc.",RES-DETOX,23043 Hatteras Street,WOODLAND HILLS,Los Angeles County,CA,91367,6,34.17560478,-118.628871,Co-Ed,(818) 794-4369 
"Faith Recovery, Inc.",NON,2211 Palo Verde Avenue,LONG BEACH,Los Angeles County,CA,90815,0,33.796251,-118.107958,Co-Ed,(562) 881-2322 
"Crossroad Transitional, Inc",RES-DETOX,19646 Ballinger Street,NORTHRIDGE,Los Angeles County,CA,91324,6,34.24342625,-118.5617536,Co-Ed,(818) 482-0175 
"Mermaids' Cove Malibu, Inc.",RES-DETOX,6134 Busch Drive,MALIBU,Los Angeles County,CA,90265,6,34.02413702,-118.8175223,Co-Ed,(310) 457-7919 
Exis Recovery Inc.,NON,11545 W. Olympic Boulevard,LOS ANGELES,Los Angeles County,CA,90064,0,34.036209,-118.4449365,Co-Ed,(310) 497-6248 
Friendly Hand Foundation,RES-DETOX,347 S Normandie Avenue,LOS ANGELES,Los Angeles County,CA,90020-3167,12,34.06759661,-118.3003798,Women Only,(213) 389-9964 
"Lighthouse Recovery Centers, Llc",NON,20700 Ventura Blvd,WOODLAND HILLS,Los Angeles County,CA,91364,0,34.16678625,-118.5844019,Dual Diagnosis,(855) 913-5400 
"Wisdom Treatment, Llc",NON,7361 Topanga Canyon Boulevard,CONOGA PARK,Los Angeles County,CA,91303-1244,0,34.204509,-118.606185,Co-Ed,(424) 208-9829 
"Lighthouse Recovery Centers, Llc",RES-DETOX,5242 Darro Road ,WOODLAND HILLS,Los Angeles County,CA,91364,9,34.164531,-118.599354,Co-Ed,(888) 329-9133 
"Inner+Actions, Llc",NON,17609 Ventura Boulevard,ENCINO,Los Angeles County,CA,91316,0,34.16189758,-118.5164002,Co-Ed,(818) 963-4357 
"Abacus Guidance Center, Inc.",NON,312 North Allen Ave.,PASADENA,Los Angeles County,CA,91106-1604,0,34.151553,-118.1126295,Co-Ed,(626) 241-9280 
"Valley Restoration Center, Inc.",NON,22900 Ventura Boulevard,WOODLAND HILLS,Los Angeles County,CA,91364,0,34.164711,-118.6262415,Co-Ed,(818) 519-0670 
"Remedy Detox Centers, Llc",RES-DETOX,520 Muskingum Avenue,PACIFIC PALISADES,Los Angeles County,CA,90272,6,34.04328264,-118.5387318,Dual Diagnosis,(310) 913-1620 
"Profound Treatment, Llc",NON-DETOX,1990 Westwood Boulevard,WEST LOS ANGELES,Los Angeles County,CA,90025,0,34.04691,-118.4341365,Co-Ed/Youth,(424) 320-2871 
"310 Recovery, Inc.",NON,10533 Washington Blvd.,CULVER CITY,Los Angeles County,CA,90232,0,34.01757808,-118.4043496,Co-Ed,(310) 935-9849 
"Recovery Grads, Llc",NON,817 West 34Th Street,LOS ANGELES,Los Angeles County,CA,90089,0,34.023132,-118.284318,Co-Ed,(310) 822-1234 
"The Villa Outpatient Services, Llc",NON,4463 Van Nuys Boulevard,SHERMAN OAKS,Los Angeles County,CA,91403,0,34.152759,-118.4487295,Co-Ed,(818) 205-9069 
Dedicato Treatment Center Inc.,RES-DETOX,22 W. Carter Avenue,SIERRA MADRE,Los Angeles County,CA,91024,6,34.17061854,-118.0526517,Co-Ed,(626) 921-0113 
Melrose Recovery Llc,RES-DETOX,501 N. Mariposa Avenue,LOS ANGELES,Los Angeles County,CA,90004,8,34.07922,-118.2995145,Co-Ed,(702) 901-9079 
"Lifesync Recovery And Detoxification, Llc",RES-DETOX,6035 Murphy Way ,MALIBU,Los Angeles County,CA,90265,12,34.03394156,-118.7824582,Co-Ed,(310) 457-0915 
"Vida Family Center, Inc.",NON,8332 Sepulveda Boulevard,NORTH HILLS,Los Angeles County,CA,91343,0,34.22230963,-118.4677034,Co-Ed,(818) 986-1161 
Dedicato Treatment Center Inc.,NON,133 North Altadena,PASADENA,Los Angeles County,CA,91107,0,34.148457,-118.099215,Co-Ed,(626) 460-8119 
Silicon Beach Behavioral Health Inc.,NON,5900 Sepulveda Boulevard,VAN NUYS,Los Angeles County,CA,91411,0,34.177545,-118.465452,Co-Ed,(310) 795-0542 
"Integrity Treatment Program, Llc",NON,12301 Wilshire Boulevard,LOS ANGELES,Los Angeles County,CA,90025,0,34.04258932,-118.4693859,Co-Ed,(310) 621-1536 
"Dolorosa Operations, Llc",RES-DETOX,22209 Dolorosa Street,WOODLAND HILLS,Los Angeles County,CA,91367,6,34.17052641,-118.6106287,Co-Ed,(818) 850-3997 
"Canyon West Los Angeles, Llc",NON,17167 W. Ventura Boulevard,ENCINO,Los Angeles County,CA,91316,0,34.16054512,-118.5075216,Dual Diagnosis,(818) 464-1700 
"Silicon Beach Outpatient Center, Llc",NON,10211 Venice Boulevard,LOS ANGELES,Los Angeles County,CA,90034,0,34.02154655,-118.4021925,Co-Ed,(310) 289-7137 
Cast Centers Llc,NON,630 North Doheny Drive,WEST HOLLYWOOD,Los Angeles County,CA,90069,0,34.08201982,-118.3897102,Co-Ed,(310) 873-3935 
"Destiny Recovery, Inc.",RES-DETOX,1042 E. Belmont Abbey Lane,CLAREMONT,Los Angeles County,CA,91711,6,34.14041453,-117.696237,Co-Ed,(909) 971-3333 
"Pch Treatment, Inc.",NON,"11965 Venice Boulevard,",LOS ANGELES,Los Angeles County,CA,90066,0,34.006617,-118.428678,Co-Ed,(310) 566-7625 
Iris Healing Retreat Llc,RES-DETOX,23033 Ostronic Drive,WOODLAND HILLS,Los Angeles County,CA,91367,6,34.1660393,-118.6287093,Co-Ed,(818) 436-2646 
"Casa Bella Soberliving-West, Llc",RES,12167-69 W. Sunset Blvd,LOS ANGELES,Los Angeles County,CA,90049,8,34.05914782,-118.4774508,Women Only,(310) 913-0029 
Healthy Living And Lifestyle Inc,RES-DETOX,22512 Garzota Drive,SANTA CLARITA,Los Angeles County,CA,91350,6,34.43738463,-118.529661,Co-Ed,(661) 523-7676 
"Chandler Treatment, Llc",NON,5503 Cahuenga Blvd,NORTH HOLLYWOOD,Los Angeles County,CA,91601,0,34.170147,-118.3619115,Dual Diagnosis,(818) 358-2789 
Hk Management Company Llc,NON,3415 Overland Ave,LOS ANGELES,Los Angeles County,CA,90034,0,34.02564381,-118.4123708,Co-Ed,(310) 909-3070 
"Pulse Treatment Center, Inc.",NON,5530 Corbin Avenue,TARZANA,Los Angeles County,CA,91356,0,34.171731,-118.562191,Families,(949) 293-2278 
Bloom Recovery Treatment Center,RES-DETOX,4809 Lowell Avenue,LA CRESCENTA,Los Angeles County,CA,91214,6,34.24601563,-118.2660845,Co-Ed,(818) 818-0202 
"Helping Hands Rehabilitation Clinic, Inc.",NON,1776 North Highland Avenue,HOLLYWOOD,Los Angeles County,CA,90028,0,34.10400157,-118.3384846,Co-Ed,(323) 499-1062 
Pacific Recovery Solutions Llc,NON-DETOX,7966 Beverly Boulevard,LOS ANGELES,Los Angeles County,CA,90048,0,34.07607548,-118.3632615,Co-Ed,(918) 804-7684 
"Forward Recovery Solutions, Llc",NON,9740 West Pico Blvd.,LOS ANGELES,Los Angeles County,CA,90035,0,34.05444479,-118.4007396,Co-Ed/Youth,(310) 945-0344 
"Manifest Valley Wellness, Llc",NON,18663 Ventura Blvd,TARZANA,Los Angeles County,CA,91356,0,34.170777,-118.540134,Dual Diagnosis,(866) 359-9052 
"Novo Medical Detoxification Centers Of Los Angeles, Inc.",RES-DETOX,11346 Thurston Place,LOS ANGELES,Los Angeles County,CA,90049,6,34.0751376,-118.4652102,Co-Ed,(424) 832-7613 
"Path To Recovery Detox, Llc",RES-DETOX,877 South Bronson Avenue,LOS ANGELES,Los Angeles County,CA,90005,6,34.05670165,-118.3206052,Co-Ed,(323) 847-5077 
